suggestion_id,pick,text,kind,band,det_majority,panel_signal,panel_confidence,judge_band,judge_key,model,prompt_style,call_path,llm_verdict,llm_score,llm_reason,ollama_total_ms,agrees_det_majority,expected,agrees_expected
113,true_ssn,300-71-4366,SSN,high,redact,agree,96,high,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,redact,80,ai_classify label=redact,,true,redact,true
113,true_ssn,300-71-4366,SSN,high,redact,agree,96,high,llama32_foia,llama3.2:3b,foia_strict,http_generate,redact,0,SSN,289.582542,true,redact,true
113,true_ssn,300-71-4366,SSN,high,redact,agree,96,high,qwen25_brief,qwen2.5:7b,brief,http_generate,redact,85,SSN is PII,566.833958,true,redact,true
117,true_phone,(315) 287-4003,PHONE · WITNESS,high,redact,agree,95,high,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,redact,80,ai_classify label=redact,,true,redact,true
117,true_phone,(315) 287-4003,PHONE · WITNESS,high,redact,agree,95,high,llama32_foia,llama3.2:3b,foia_strict,http_generate,redact,0,phone number,296.590917,true,redact,true
117,true_phone,(315) 287-4003,PHONE · WITNESS,high,redact,agree,95,high,qwen25_brief,qwen2.5:7b,brief,http_generate,redact,95,Subject PII,509.137875,true,redact,true
118,street_fp,Feeney Street,STREET NAME · NOT PII,review,keep,agree,14,flagged,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,redact,80,ai_classify label=redact,,false,keep,false
118,street_fp,Feeney Street,STREET NAME · NOT PII,review,keep,agree,14,flagged,llama32_foia,llama3.2:3b,foia_strict,http_generate,keep,80,"Street name shares surname with no house number, not protected PII",369.66425,true,keep,true
118,street_fp,Feeney Street,STREET NAME · NOT PII,review,keep,agree,14,flagged,qwen25_brief,qwen2.5:7b,brief,http_generate,keep,100,"street name, not PII",432.023667,true,keep,true
146,flagged_citation,"Feeney v. Ohio,",CITATION · NOT PII,flagged,keep,agree,11,flagged,llama32_ai_classify,llama3.2:3b,classify_short,ai_classify,redact,80,ai_classify label=redact,,false,keep,false
146,flagged_citation,"Feeney v. Ohio,",CITATION · NOT PII,flagged,keep,agree,11,flagged,llama32_foia,llama3.2:3b,foia_strict,http_generate,keep,80,"Street name shares surname with no house number, not protected PII",390.023208,true,keep,true
146,flagged_citation,"Feeney v. Ohio,",CITATION · NOT PII,flagged,keep,agree,11,flagged,qwen25_brief,qwen2.5:7b,brief,http_generate,keep,50,legal citation and location,467.498375,true,keep,true
