document_id,page_no,seq,word,x0,y0,x1,y1,font_size,fmt,filename
1,1,28,776,189.0,0.0,192.0,12.0,12.0,html,incident_report_24-000117.html
1,1,29,Maple,193.0,0.0,198.0,12.0,12.0,html,incident_report_24-000117.html
1,1,30,"St,",199.0,0.0,202.0,12.0,12.0,html,incident_report_24-000117.html
1,1,31,"Portland,",203.0,0.0,212.0,12.0,12.0,html,incident_report_24-000117.html
1,1,32,OR,213.0,0.0,215.0,12.0,12.0,html,incident_report_24-000117.html
1,1,33,97205,216.0,0.0,221.0,12.0,12.0,html,incident_report_24-000117.html
1,1,34,Phone,222.0,0.0,227.0,12.0,12.0,html,incident_report_24-000117.html
1,1,35,(613),228.0,0.0,233.0,12.0,12.0,html,incident_report_24-000117.html
1,1,36,235-3301,234.0,0.0,242.0,12.0,12.0,html,incident_report_24-000117.html
1,1,37,Narrative,243.0,0.0,252.0,12.0,12.0,html,incident_report_24-000117.html
1,1,38,On,253.0,0.0,255.0,12.0,12.0,html,incident_report_24-000117.html
1,1,39,2024-01-17,256.0,0.0,266.0,12.0,12.0,html,incident_report_24-000117.html
1,1,40,officers,267.0,0.0,275.0,12.0,12.0,html,incident_report_24-000117.html
1,1,41,contacted,276.0,0.0,285.0,12.0,12.0,html,incident_report_24-000117.html
1,1,42,Magnolia,286.0,0.0,294.0,12.0,12.0,html,incident_report_24-000117.html
1,1,43,Cronin,295.0,0.0,301.0,12.0,12.0,html,incident_report_24-000117.html
1,1,44,at,302.0,0.0,304.0,12.0,12.0,html,incident_report_24-000117.html
1,1,45,776,305.0,0.0,308.0,12.0,12.0,html,incident_report_24-000117.html
1,1,46,Maple,309.0,0.0,314.0,12.0,12.0,html,incident_report_24-000117.html
1,1,47,St.,315.0,0.0,318.0,12.0,12.0,html,incident_report_24-000117.html
1,1,48,Subject,319.0,0.0,326.0,12.0,12.0,html,incident_report_24-000117.html
1,1,49,provided,327.0,0.0,335.0,12.0,12.0,html,incident_report_24-000117.html
1,1,50,SSN,336.0,0.0,339.0,12.0,12.0,html,incident_report_24-000117.html
1,1,51,271-72-1446,340.0,0.0,351.0,12.0,12.0,html,incident_report_24-000117.html
1,1,52,and,352.0,0.0,355.0,12.0,12.0,html,incident_report_24-000117.html
1,1,53,phone,356.0,0.0,361.0,12.0,12.0,html,incident_report_24-000117.html
1,1,54,(613),362.0,0.0,367.0,12.0,12.0,html,incident_report_24-000117.html
1,1,55,235-3301.,368.0,0.0,377.0,12.0,12.0,html,incident_report_24-000117.html
1,1,56,Witness,378.0,0.0,385.0,12.0,12.0,html,incident_report_24-000117.html
1,1,57,Marques,386.0,0.0,393.0,12.0,12.0,html,incident_report_24-000117.html
1,1,58,Cruickshank,394.0,0.0,405.0,12.0,12.0,html,incident_report_24-000117.html
1,1,59,corroborated,406.0,0.0,418.0,12.0,12.0,html,incident_report_24-000117.html
1,1,60,the,419.0,0.0,422.0,12.0,12.0,html,incident_report_24-000117.html
1,1,61,timeline.,423.0,0.0,432.0,12.0,12.0,html,incident_report_24-000117.html
1,1,62,Citation,433.0,0.0,441.0,12.0,12.0,html,incident_report_24-000117.html
1,1,63,reference,442.0,0.0,451.0,12.0,12.0,html,incident_report_24-000117.html
1,1,64,Cronin,452.0,0.0,458.0,12.0,12.0,html,incident_report_24-000117.html
1,1,65,v.,459.0,0.0,461.0,12.0,12.0,html,incident_report_24-000117.html
1,1,66,"Ohio,",462.0,0.0,467.0,12.0,12.0,html,incident_report_24-000117.html
1,1,67,494,468.0,0.0,471.0,12.0,12.0,html,incident_report_24-000117.html
1,1,68,U.S.,472.0,0.0,476.0,12.0,12.0,html,incident_report_24-000117.html
1,1,69,541,477.0,0.0,480.0,12.0,12.0,html,incident_report_24-000117.html
1,1,70,(1990),481.0,0.0,487.0,12.0,12.0,html,incident_report_24-000117.html
1,1,71,is,488.0,0.0,490.0,12.0,12.0,html,incident_report_24-000117.html
1,1,72,not,491.0,0.0,494.0,12.0,12.0,html,incident_report_24-000117.html
1,1,73,PII.,495.0,0.0,499.0,12.0,12.0,html,incident_report_24-000117.html
1,1,74,Street,500.0,0.0,506.0,12.0,12.0,html,incident_report_24-000117.html
1,1,75,name,507.0,0.0,511.0,12.0,12.0,html,incident_report_24-000117.html
1,1,76,Cronin,512.0,0.0,518.0,12.0,12.0,html,incident_report_24-000117.html
1,1,77,Street,519.0,0.0,525.0,12.0,12.0,html,incident_report_24-000117.html
1,1,78,is,526.0,0.0,528.0,12.0,12.0,html,incident_report_24-000117.html
1,1,79,a,529.0,0.0,530.0,12.0,12.0,html,incident_report_24-000117.html
1,1,80,false-positive,531.0,0.0,545.0,12.0,12.0,html,incident_report_24-000117.html
1,1,81,plant.,546.0,0.0,552.0,12.0,12.0,html,incident_report_24-000117.html
1,1,82,Reporting,553.0,0.0,562.0,12.0,12.0,html,incident_report_24-000117.html
1,1,83,officers,563.0,0.0,571.0,12.0,12.0,html,incident_report_24-000117.html
1,1,84,Ofc.,572.0,0.0,576.0,12.0,12.0,html,incident_report_24-000117.html
1,1,85,M.,577.0,0.0,579.0,12.0,12.0,html,incident_report_24-000117.html
1,1,86,Mayer,580.0,0.0,585.0,12.0,12.0,html,incident_report_24-000117.html
1,1,87,"#3178",586.0,0.0,591.0,12.0,12.0,html,incident_report_24-000117.html
1,1,88,Det.,592.0,0.0,596.0,12.0,12.0,html,incident_report_24-000117.html
1,1,89,N.,597.0,0.0,599.0,12.0,12.0,html,incident_report_24-000117.html
1,1,90,Cronin,600.0,0.0,606.0,12.0,12.0,html,incident_report_24-000117.html
1,1,91,"#4453",607.0,0.0,612.0,12.0,12.0,html,incident_report_24-000117.html
2,1,1,Magnolia,0.0,0.0,8.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,2,Cronin,9.0,0.0,15.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,3,08/16/1979,16.0,0.0,26.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,4,271-72-1446,27.0,0.0,38.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,5,776,39.0,0.0,42.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,6,Maple,43.0,0.0,48.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,7,"St,",49.0,0.0,52.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,8,"Portland,",53.0,0.0,62.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,9,OR,63.0,0.0,65.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,10,97205,66.0,0.0,71.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,11,(613),72.0,0.0,77.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,12,235-3301,78.0,0.0,86.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,13,Officers,87.0,0.0,95.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,14,contacted,96.0,0.0,105.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,15,Magnolia,106.0,0.0,114.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,16,Cronin.,115.0,0.0,122.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,17,SSN,123.0,0.0,126.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,18,271-72-1446,127.0,0.0,138.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,19,recorded,139.0,0.0,147.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,20,on,148.0,0.0,150.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,21,scene.,151.0,0.0,157.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,22,Witness,158.0,0.0,165.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,23,Marques,166.0,0.0,173.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,24,Cruickshank,174.0,0.0,185.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,25,interviewed.,186.0,0.0,198.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,26,False,199.0,0.0,204.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,27,positive,205.0,0.0,213.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,28,plant:,214.0,0.0,220.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,29,Cronin,221.0,0.0,227.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,30,Street.,228.0,0.0,235.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,31,Ofc.,236.0,0.0,240.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,32,M.,241.0,0.0,243.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,33,Mayer,244.0,0.0,249.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,34,"#3178",250.0,0.0,255.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,35,Det.,256.0,0.0,260.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,36,N.,261.0,0.0,263.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,37,Cronin,264.0,0.0,270.0,12.0,12.0,xml,incident_report_24-000117.xml
2,1,38,"#4453",271.0,0.0,276.0,12.0,12.0,xml,incident_report_24-000117.xml
